anio,pib_nominal_usd,pib_crecimiento_pct,pib_per_capita_usd,inflacion_pct,tasa_interes_real_pct,desempleo_pct,exportaciones_usd,importaciones_usd,ied_usd,deuda_externa_usd,poblacion,gasto_educacion_pct_pib,gasto_salud_pct_pib,co2_per_capita_ton,gini
1960,,,355.075200,4.927519,,,1109120000.000000,1520944000.000000,,,36724615.000000,,,,
1961,,5.000000,373.712217,1.608760,,,1191208000.000000,1503120000.000000,,,37890118.000000,,,,
1962,,4.664415,388.456702,1.198984,,,1302504000.000000,1536528000.000000,,,39129200.000000,,,,
1963,,8.106887,419.552066,0.594055,,,1411096000.000000,1688128000.000000,,,40424065.000000,,,,
1964,,11.905481,480.704214,2.337903,,,1532720000.000000,1978568000.000000,,,41772049.000000,,,,
1965,,7.100000,505.854419,3.568039,,,1667320000.000000,2079752000.000000,,,43174477.000000,,,,
1966,,6.096139,544.935854,4.215788,,,1816952000.000000,2192168000.000000,,,44629106.000000,,,,
1967,,5.854925,575.769038,3.016948,,,1824072000.000000,2392912000.000000,,,46129608.000000,,,,
1968,,9.423279,615.922912,2.333951,,,2066336000.000000,2746232000.000000,,,47668303.000000,,,,
1969,,3.418620,659.717507,3.367003,,,2451096000.000000,3011216000.000000,,,49233194.000000,,,,
1970,,6.502484,699.006845,5.003412,,,2754440000.000000,3430408000.000000,312107000.000000,,50814953.000000,,,2.379160,
1971,,3.762468,747.912361,5.469029,,,2995040000.000000,3417960000.000000,307000000.000000,,52412558.000000,,,2.314264,
1972,,8.228807,836.569673,4.943692,,,3643200000.000000,3991120000.000000,178384999.900000,,54030168.000000,,,2.468700,
1973,,7.861120,993.042880,12.081939,,,4650160000.000000,5232144000.000000,457000000.000000,,55667284.000000,,,2.577940,
1974,,5.776827,1256.102806,23.784015,,,6054240000.000000,7612160000.000000,508755999.900000,,57320149.000000,,,2.761999,
1975,,5.744485,1491.970486,14.944535,,,6067120000.000000,8465680000.000000,458411000.000000,,58982400.000000,,,2.824927,
1976,,4.417444,1465.498779,15.824722,,,7545416828.730710,8769603267.211201,731451000.000000,,60645512.000000,,,2.931386,
1977,,3.390640,1314.620445,29.064125,,,8452576086.474990,8373206928.631550,327101999.900000,,62308493.000000,,,2.950298,
1978,,8.956942,1604.409205,17.457293,,,10748302367.461700,11332164975.622601,658162999.900000,,63979046.000000,,,3.220709,
1979,,9.698170,2049.264689,18.191246,,,15052992764.744600,16750506467.879900,1332000000.000000,,65648865.000000,,,3.320169,
1980,,8.756622,3054.621623,26.351651,,,20850899742.930599,25269530739.401299,2090000000.000000,,67300334.000000,,,3.581569,
1981,,9.585841,3829.144375,27.933763,,,26014603304.099499,32330287579.033199,3078000000.000000,,68892108.000000,,,3.762630,
1982,,-0.049586,2620.957934,58.913420,,,26632371192.510899,17919648239.424099,1901000000.000000,,70433260.000000,,,3.943168,
1983,,-4.624128,2169.852853,101.874938,,,28289706396.655998,14025463387.013500,2192000000.000000,,71971240.000000,,,3.632161,
1984,,3.513413,2506.307428,65.448807,,,30521772290.678600,16774715780.441900,1542000000.000000,,73506846.000000,,,3.606901,48.500000
1985,,1.919216,2601.708252,57.748448,,,28439428976.299500,19065246504.095402,1984000000.000000,,75043414.000000,,,3.656016,
1986,,-3.929960,1756.935634,86.233317,,,22446879806.725700,17390079326.809101,2400000000.000000,,76585637.000000,,,3.525191,
1987,,2.063363,1888.263143,131.827384,,,27349325162.188202,18775902764.727200,2634000000.000000,,78136651.000000,,,3.600940,
1988,,1.218261,2278.812227,114.162259,,,36496678771.988098,33950898440.679199,2879000000.000000,,79695531.000000,,,3.513548,
1989,,3.625449,2725.055723,20.007877,,,42359282023.406303,42503750802.872902,3174000000.000000,,81247182.000000,2.282010,,3.610027,50.100000
1990,,5.250043,3154.469203,26.651673,,,48866118134.863899,51768004610.682098,2634000000.000000,,82820170.000000,2.324980,,3.497487,
1991,,3.975905,3708.842055,22.662359,,3.145000,51459461044.317703,60602372094.101898,4762000000.000000,,84430572.000000,2.548000,,3.641869,
1992,,3.568614,4220.566437,15.507896,,3.235000,55406062493.820503,73709242760.181396,4393000000.000000,,86044809.000000,3.005010,,3.616736,52.300000
1993,,2.866999,6048.348404,9.751460,-17.248571,3.365000,61477360984.999100,77229254751.145599,4389000000.000000,,87653807.000000,,,3.654746,
1994,,4.394128,6202.365884,6.965812,10.095339,4.436000,70611769310.515793,90814853233.236099,10972500000.000000,,89259205.000000,3.477060,,3.878290,53.400000
